method_circuit,value,metric,idx
VQE_XQAOA,6.589475338974389e-19,opt,0
VQE_XQAOA,4.8972240449239794e-24,opt,1
VQE_XQAOA,4.63021466557366e-22,opt,2
VQE_XQAOA,0.9998970031738281,opt,3
VQE_XQAOA,0.9999974966049194,opt,4
VQE_XQAOA,1.835815079793291e-18,opt,5
VQE_XQAOA,0.9999639987945557,opt,6
VQE_XQAOA,2.080039948854419e-17,opt,7
VQE_XQAOA,0.9998944997787476,opt,8
VQE_XQAOA,0.0020213890820741653,opt,9
VQE_XQAOA,0.9998543858528137,opt,10
VQE_XQAOA,3.805943407653167e-12,opt,11
VQE_XQAOA,0.9999697208404541,opt,12
VQE_XQAOA,7.628800254212386e-17,opt,13
VQE_XQAOA,1.95592335217043e-07,opt,14
VQE_XQAOA,0.9999604225158691,opt,15
VQE_XQAOA,4.150870068768673e-18,opt,16
VQE_XQAOA,0.9999799728393555,opt,17
VQE_XQAOA,0.2714605927467346,opt,18
VQE_XQAOA,0.9994197487831116,opt,19
VQE_XQAOA,1.4211827767648627e-23,opt,20
VQE_XQAOA,1.8971939574896624e-09,opt,21
VQE_XQAOA,4.7481538786087185e-05,opt,22
VQE_XQAOA,1.256825877773331e-14,opt,23
VQE_XQAOA,0.46218252182006836,opt,24
VQE_XQAOA,1.7592934478936684e-20,opt,25
VQE_XQAOA,0.1804969757795334,opt,26
VQE_XQAOA,0.9995526075363159,opt,27
VQE_XQAOA,4.73247577756829e-22,opt,28
VQE_XQAOA,0.9996615052223206,opt,29
VQE_XQAOA,0.9999967217445374,opt,30
VQE_XQAOA,8.667569437526244e-22,opt,31
VQE_XQAOA,6.115497487560266e-20,opt,32
VQE_XQAOA,0.999977707862854,opt,33
VQE_XQAOA,0.5099925398826599,opt,34
VQE_XQAOA,0.996027946472168,opt,35
VQE_XQAOA,0.17849580943584442,opt,36
VQE_XQAOA,0.990561306476593,opt,37
VQE_XQAOA,0.9995176196098328,opt,38
VQE_XQAOA,0.9356930255889893,opt,39
VQE_XQAOA,3.80686881306502e-18,opt,40
VQE_XQAOA,0.9587971568107605,opt,41
VQE_XQAOA,1.0472045145032654e-15,opt,42
VQE_XQAOA,0.999987006187439,opt,43
VQE_XQAOA,1.2822311698943898e-15,opt,44
VQE_XQAOA,0.9999977350234985,opt,45
VQE_XQAOA,0.8889584541320801,opt,46
VQE_XQAOA,0.43584930896759033,opt,47
VQE_XQAOA,0.9523799532935733,AR1,0
VQE_XQAOA,0.9545454545454546,AR1,1
VQE_XQAOA,0.9523802257719494,AR1,2
VQE_XQAOA,0.9999890760941939,AR1,3
VQE_XQAOA,0.9999997399070046,AR1,4
VQE_XQAOA,0.9090909090909091,AR1,5
VQE_XQAOA,0.9999982833862304,AR1,6
VQE_XQAOA,0.8592267717633929,AR1,7
VQE_XQAOA,0.999995231628418,AR1,8
VQE_XQAOA,0.9500264167785645,AR1,9
VQE_XQAOA,0.9999861717224121,AR1,10
VQE_XQAOA,0.95188231695266,AR1,11
VQE_XQAOA,0.9999982660466974,AR1,12
VQE_XQAOA,0.909090822393244,AR1,13
VQE_XQAOA,0.9523806799025762,AR1,14
VQE_XQAOA,0.9999982660466974,AR1,15
VQE_XQAOA,0.9545011520385742,AR1,16
VQE_XQAOA,0.9999991416931152,AR1,17
VQE_XQAOA,0.9596537590026856,AR1,18
VQE_XQAOA,0.9999723888578869,AR1,19
VQE_XQAOA,0.9545353976162997,AR1,20
VQE_XQAOA,0.9523807707287016,AR1,21
VQE_XQAOA,0.9523751395089286,AR1,22
VQE_XQAOA,0.9512302761986142,AR1,23
VQE_XQAOA,0.9723382949829101,AR1,24
VQE_XQAOA,0.9523782275971913,AR1,25
VQE_XQAOA,0.9463215782528832,AR1,26
VQE_XQAOA,0.9999774932861328,AR1,27
VQE_XQAOA,0.8507965632847377,AR1,28
VQE_XQAOA,0.9999752998352051,AR1,29
VQE_XQAOA,1.0,AR1,30
VQE_XQAOA,0.85373609716242,AR1,31
VQE_XQAOA,0.9522416251046317,AR1,32
VQE_XQAOA,0.9999983787536622,AR1,33
VQE_XQAOA,0.968961238861084,AR1,34
VQE_XQAOA,0.9998014450073243,AR1,35
VQE_XQAOA,0.9546457926432291,AR1,36
VQE_XQAOA,0.9995703263716265,AR1,37
VQE_XQAOA,0.9999737512497675,AR1,38
VQE_XQAOA,0.9970765547318892,AR1,39
VQE_XQAOA,0.904723394484747,AR1,40
VQE_XQAOA,0.998126896944913,AR1,41
VQE_XQAOA,0.8993377685546875,AR1,42
VQE_XQAOA,0.9999994550432477,AR1,43
VQE_XQAOA,0.8701708657400948,AR1,44
VQE_XQAOA,1.0,AR1,45
VQE_XQAOA,0.9944479942321778,AR1,46
VQE_XQAOA,0.9720041101629083,AR1,47
VQE_XQAOA,0.9523811340332031,AR2,0
VQE_XQAOA,0.9545454545454546,AR2,1
VQE_XQAOA,0.9523809523809523,AR2,2
VQE_XQAOA,1.0,AR2,3
VQE_XQAOA,0.9999999133023348,AR2,4
VQE_XQAOA,0.9281804344870828,AR2,5
VQE_XQAOA,1.0,AR2,6
VQE_XQAOA,0.8834567297072637,AR2,7
VQE_XQAOA,1.0,AR2,8
VQE_XQAOA,0.9502017974853516,AR2,9
VQE_XQAOA,1.0,AR2,10
VQE_XQAOA,0.9523756844656808,AR2,11
VQE_XQAOA,0.9999999133023348,AR2,12
VQE_XQAOA,0.9090910824862394,AR2,13
